schoolid,suburb,schoolname,region,address,longitude,latitude
418,BENALLA,F.C.J. College,,"36 Arundel St, Benalla VIC 3672",145.9847,-36.5586
419,EUROA,Euroa Secondary College,,"26 Campbell St, Euroa VIC 3666",145.5653,-36.7575
420,ESSENDON,Essendon Keilor College,,"286 Buckley St, Essendon VIC 3040",144.9017,-37.7553
421,EPPING,Epping Secondary College,,"McDonalds Rd, Epping VIC 3076",145.0484,-37.6468
422,VERMONT SOUTH,Emmaus College,,"503 Springvale Rd, Vermont South VIC 3133",145.1711,-37.8458
423,ALTONA NORTH,Emmanuel College,INNER WEST,"17 Birmingham Rd, Carrara QLD 4211",153.369,-28.0149
424,EMERALD,Emerald Secondary College,,"425 Belgrave-Gembrook Rd, Emerald VIC 3782",145.4591,-37.9238
425,ELWOOD,Elwood College,,"101 Glen Huntly Rd, Elwood VIC 3184",144.9846,-37.8821
426,ELTHAM,Eltham High School,,"30-60 Withers Way, Eltham VIC 3095",145.1416,-37.7246
427,RESEARCH,Eltham College,,"1660 Main Rd, Research VIC 3095",145.1908,-37.6999
428,LANGWARRIN,Elisabeth Murdoch College,,"80 Warrandyte Rd, Langwarrin VIC 3910",145.1898,-38.159
429,LILYDALE,Edinburgh College,,"33-61 Edinburgh Road, Lilydale VIC 3140",145.3514,-37.7844
430,EDENHOPE,Edenhope College,,"40-48 Lake St, Edenhope VIC 3318",141.2938,-37.0355
431,ECHUCA,Echuca College,,"20-50 Butcher St., Echuca VIC 3564",144.731,-36.1332
432,PRESTON EAST,East Preston Islamic College,,"55 Tyler St, Preston VIC 3072",145.0359,-37.7336
433,DINGEE,East Loddon P-12 College,,"Dingee Rd, Dingee VIC 3571",144.183,-36.3709
434,BAIRNSDALE,East Gippsland Institute of TAFE,,"Bairnsdale, VIC, 3875",147.6167,-37.8333
435,DONCASTER EAST,East Doncaster Secondary College,,"20 George St, Doncaster East VIC 3109",145.1588,-37.7822
436,DROUIN,Drouin Secondary College,,"Main S Rd, Drouin VIC 3818",145.848,-38.1459
437,DROMANA,Dromana Secondary College,,"110 Harrisons Rd, Dromana VIC 3936",145.0138,-38.3427
438,DONVALE,Donvale Christian College,,"155 Tindals Rd, Donvale VIC 3111",145.1945,-37.774
439,DONCASTER,Doncaster Secondary College,,"123 Church Rd, Doncaster VIC 3108",145.1382,-37.7839
440,DONALD,Donald High School,,"2-16 camp street, Donald VIC 3480",142.9754,-36.3713
441,THORNBURY,Distance Education Victoria,,"315 Clarendon St, Thornbury VIC 3071",145.0257,-37.7621
442,DIMBOOLA,Dimboola Memorial Secondary College,,"Ellerman Street, Dimboola VIC 3414",142.0285,-36.4448
443,GREENSBOROUGH,Diamond Valley Learn Centre,,"Corner Of Diamond Creek & St Helena Rds, Greensborough VIC 3088",145.1077,-37.6997
444,DIAMOND CREEK,Diamond Valley College,,"165-179 Main Hurstbridge Rd, Diamond Creek VIC 3089",145.168,-37.6722
445,DERRINALLUM,Derrinallum P-12 College,,"Campbell St, Derrinallum VIC 3325",143.2152,-37.94
446,DERRINALLUM,Derrinallum P12 College,,"Campbell St, Derrinallum VIC 3326",143.2152,-37.94
447,DEER PARK,Deer Park Secondary College,NORTH WEST,"88 Billingham Rd, Deer Park VIC 3023",144.7666,-37.7593
448,FLEMINGTON,Debney Park Secondary College,,"167-175 Mt Alexander Rd, Flemington VIC 3031",144.9339,-37.7827
449,MALVERN,De La Salle College,,"1318 High St, Malvern VIC 3144",145.0321,-37.8572
450,DAYLESFORD,Daylesford Secondary College,,"Smith St, Daylesford VIC 3460",144.1509,-37.3367
451,FAWKNER,Darul Ulum College of Victoria,,"17 Baird St, Fawkner VIC 3060, Fawkner VIC 3060",144.971,-37.7052
452,DANDENONG,DANDENONG HIGH SCHOOL - CLEELAND,,"92-106 Princes Hwy, Dandenong VIC 3175",145.2086,-37.9792
453,DANDENONG,Dandenong High School,,"92-106 Princes Hwy, Dandenong VIC 3175",145.2086,-37.9792
454,MOUNT CLEAR,Damascus College,,"1412 Geelong Rd, Mount Clear VIC 3350",143.8707,-37.6114
455,CROYDON,Croydon Secondary College,,"20 Brentnall Rd, Croydon VIC 3136",145.2626,-37.7953
456,CRANBOURNE,Cranbourne Secondary College,,"Stawell St, Cranbourne VIC 3977",145.2869,-38.1084
457,CRANBOURNE EAST,Cranbourne East Secondary College,,"50 Stately Dr, Cranbourne East VIC 3977",145.3061,-38.1049
